"","za","nest","rnkIndex","len","hits","fp","fn","precision","Recall","F1"
"1",3.69747745077692,1.02056715136551,1,10,2,8,8,0.2,0.2,0.2
"2",5.28014081765896,0.642296124024102,1,17,7,10,3,0.411764705882353,0.7,0.518518518518518
"3",1.48657544707643,1.15132441393407,1,10,0,10,10,0,0,NA
"4",1.48657544707643,1.15132441393407,1,10,0,10,10,0,0,NA
"5",1.48657544707643,1.15132441393407,1,10,0,10,10,0,0,NA
"6",3.69747745077692,1.02056715136551,1,10,2,8,8,0.2,0.2,0.2
"7",2.59060235768588,1.10879427979045,1,10,3,7,7,0.3,0.3,0.3
"8",1.48657544707643,1.15132441393407,1,10,0,10,10,0,0,NA
"9",1.47104514111174,1.15160177627267,1,10,5,5,5,0.5,0.5,0.5
"10",1.48657544707643,1.15132441393407,1,10,0,10,10,0,0,NA
"11",3.82490491256709,0.789044176482438,1,18,6,12,4,0.333333333333333,0.6,0.428571428571429
"12",1.48657544707643,1.15132441393407,1,10,0,10,10,0,0,NA
"13",1.48657544707643,1.15132441393407,1,10,0,10,10,0,0,NA
"14",2.59060235768588,1.10879427979045,1,10,3,7,7,0.3,0.3,0.3
"15",3.69747745077692,1.02056715136551,1,10,2,8,8,0.2,0.2,0.2
"16",5.28014081765896,0.642296124024102,1,17,7,10,3,0.411764705882353,0.7,0.518518518518518
"17",3.69747745077692,1.02056715136551,1,10,2,8,8,0.2,0.2,0.2
"18",1.48657544707643,1.15132441393407,1,10,0,10,10,0,0,NA
"19",1.47104514111174,1.15160177627267,1,10,5,5,5,0.5,0.5,0.5
"20",1.47104514111174,1.15160177627267,1,10,5,5,5,0.5,0.5,0.5
"21",1.47104514111174,1.15160177627267,1,10,5,5,5,0.5,0.5,0.5
"22",2.59060235768588,1.10879427979045,1,10,3,7,7,0.3,0.3,0.3
"23",1.48657544707643,1.15132441393407,1,10,0,10,10,0,0,NA
"24",2.59060235768588,1.10879427979045,1,10,3,7,7,0.3,0.3,0.3
"25",2.59060235768588,1.10879427979045,1,10,3,7,7,0.3,0.3,0.3
"26",1.48657544707643,1.15132441393407,1,10,0,10,10,0,0,NA
"27",3.82490491256709,0.789044176482438,1,18,6,12,4,0.333333333333333,0.6,0.428571428571429
"28",2.59060235768588,1.10879427979045,1,10,3,7,7,0.3,0.3,0.3
"29",1.48657544707643,1.15132441393407,1,10,0,10,10,0,0,NA
"30",1.48657544707643,1.15132441393407,1,10,0,10,10,0,0,NA
"31",1.48657544707643,1.15132441393407,1,10,0,10,10,0,0,NA
"32",3.69747745077692,1.02056715136551,1,10,2,8,8,0.2,0.2,0.2
